ProblemUID,ProblemTitle,Description,distribution,parameter(s),hint,comment
1,B-negative Blood Type P3,Let X represent how many people have a B negative blood type in a sample of just one randomly selected person.,Bernoulli,p represents probability that a random person has B- blood (about 2%),variable can only be zero or one,"p represents the probability that a random person has B- blood (about 2%), and X can only be 0 or 1 (alternate answer is Binomial with n=1)"
2,Horse Race P1,Three horses are randomly picked from the 12 competing in a race and you place a bet on each of these three horses to win the race.  Let X represent the number of winning tickets purchased.,Bernoulli,p = 25% (3/12),only one winner possible,p = 25% (3/12) and X can only be 0 or 1
3,Internet purchases P1,Let X represent how many people favor imposing uniform sales tax on internet purchases in a sample of just one person. ,Bernoulli,p represents proportion in population that favor the proposal,value can be 1 or 0,"p represents the proportion in population that favor the proposal, and value can be only 1 or 0"
4,Governor,Let X = 1 if the next governor of Pennsylvania is female and X = 0 otherwise.,Bernoulli,,only two values of X,"p represents the probability that the next governor of Pennsylvania is female, and X could only be 0 or 1"
5,Monotone,Let \(g(x) = g(x^2)\) for all monotone increasing functions \(g\).,Bernoulli,,pay attention to the values of \(g(x)\),"To satisfy the constraint on the function , X could only be 0 or 1"
6,Cheacking account,"Let \(X = max\{Y_1,\ldots,Y_7\}\) when \(Y_i = 1\) if the ith customer of the week at a bank has a checking account,  \(X=0\) otherwise.",Bernoulli,,only two answer for X,The only two possibilities for X are 0 and 1
7,Accident time,Let X represent the proportion of the way into the year of the 5th individual fatal car accident in Los Angeles in a year that has 12 fatal accidents total.,Beta,,5th of 12,alpha = 5 and beta = 8 since X is the 5th largest out of 12 uniforms
8,Yard P2,A  yardstick is broken randomly into seven pieces. Let X represent the fifth break's position (in yards) from the left end.,Beta,,5th of 7,The position of the 5th piece is the 5th largest out of 7 uniforms so alpha = 5 and beta = 3
9,Heart attack,"Knowing that there were 5 patients that came to the emergency room with a heart attack this week, let X represent the proportion of the way into the week of the 3rd heart attack sufferer's arrival.",Beta,,third out of 5,"alpha = 3, beta = 3 since X is the 3rd largest out of 5 uniforms"
10,Digit clock,Seven people record how long (in minutes) it takes for their digital clocks to move to the next minute after they wake up in the morning. Let X represent the median of these seven values.,Beta,,4th of 7,"alpha=4, beta=4, 4th largest out of 7 uniforms"
